Ticker,Name,Country,Fundamental Score,ROE %,Sales Growth %,Profit Growth %,Profit Margin %,Debt/Equity,Trailing PE,Forward PE,Trailing EPS,Forward EPS,Improving Score,Revenue Trend,Earnings Trend,Margin Trend,ROE Trend,EPS Trend,Analyst Trend,Was Loss Now Profit,Latest Net Income,Latest Revenue,Latest EPS (Quarterly),Previous EPS (Quarterly)
HD,Home Depot,USA,58,104.29599,5.7,4.6,8.41,380.261,21.007004,18.719736,14.28,16.0248,0,flat,flat,flat,flat,flat,flat,False,4766000000.0,47861000000.0,4.79,3.3
UNP,Union Pacific,USA,77,39.696,11.5,6.6000000000000005,28.847,150.772,22.621052,19.724142,12.35,14.16386,1,up,flat,flat,down,flat,up,False,1993000000.0,6864000000.0,3.36,2.87
ROK,Rockwell Automation,USA,80,30.629,7.9,40.400000000000006,13.385000999999999,103.347,38.91573,27.976122,10.68,14.85624,2,up,up,up,flat,up,down,False,408000000.0,2313000000.0,3.65,3.1
ETN,Eaton,USA,66,19.683999999999997,21.4,-15.9,12.751999999999999,105.059,43.29969,26.328268,9.81,16.13361,4,up,up,flat,up,flat,up,False,,,2.11,2.22
EMR,Emerson Electric,USA,73,12.8,7.000000000000001,23.0,13.828,67.677,32.80525,20.687666,4.57,7.24683,3,up,up,up,flat,up,flat,False,,,1.28,1.1
JCI,Johnson Controls,USA,74,14.332,9.3,15.299999999999999,14.319,70.107,40.360565,23.59404,3.55,6.07272,5,up,up,up,up,up,up,False,749000000.0,6614000000.0,1.23,1.0
ISRG,Intuitive Surgical,USA,87,17.423001,18.5,26.5,28.445998,,45.054985,32.529274,8.73,12.09157,3,up,up,flat,flat,up,up,False,818100000.0,2892300000.0,2.29,2.28
IDXX,IDEXX Laboratories,USA,84,74.211,9.700000000000001,17.599999999999998,25.030002,67.971,35.98101,30.565063,14.22,16.7397,-1,flat,flat,flat,flat,flat,down,False,338412000.0,1216585000.0,4.27,3.47
LLY,Eli Lilly,USA,88,102.28600000000002,47.699999999999996,26.200000000000003,33.528998,162.071,38.753952,24.352015,29.75,47.34434,1,up,flat,flat,down,flat,up,False,7095000000.0,22974000000.0,7.94,8.26
ABBV,AbbVie,USA,79,,10.2,290.4,9.8000005,,74.56497,16.226177,3.54,16.26754,1,up,flat,flat,flat,flat,flat,False,3613000000.0,16990000000.0,2.03,0.39
ABT,Abbott Laboratories,USA,60,10.576,13.0,-47.5,11.645000399999999,63.212,33.20712,16.917128,3.09,6.06545,1,up,flat,flat,down,down,up,False,,,0.53,0.61
BLK,BlackRock,USA,85,12.2779995,30.599999999999998,19.6,24.089001,23.192,25.6419,16.634682,41.72,64.31022,0,up,down,down,flat,down,up,False,1914000000.0,7084000000.0,12.19,14.06
JPM,JPMorgan Chase,USA,93,17.788999999999998,30.4,46.9,34.921002,,14.994426,13.993524,23.32,24.98799,1,up,flat,flat,flat,flat,flat,False,21155000000.0,52852000000.0,7.7,5.94
GS,Goldman Sachs,USA,78,16.902,42.5,92.30000000000001,31.039,725.381,14.555006,12.724152,64.72,74.03244,2,flat,up,flat,flat,up,up,False,,,20.98,17.55
CME,CME Group,USA,71,15.802,0.8,2.5,63.443000000000005,14.587,23.410519,21.352411,11.79,12.92641,-3,flat,down,down,flat,down,down,False,1041800000.0,1706200000.0,2.88,3.18
ICE,Intercontinental Exchange,USA,75,14.094000000000001,4.8,14.2,38.246,69.226,21.928068,17.665781,7.09,8.80063,-1,flat,flat,flat,flat,up,down,False,958000000.0,3611000000.0,1.69,2.48
V,Visa,USA,86,61.19,14.399999999999999,10.2,50.782000000000004,67.821,31.34383,24.545631,11.75,15.0043,-1,up,flat,down,flat,flat,down,False,5628000000.0,11633000000.0,2.97,3.14
